Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
01/23/2023, 14:34:18,Black Dog Pork Twists Dog Treat Single,black-dog-pork-twists-dog-treat,Black Dog,6661383848072,122919000016,9319993800346,Default Title,3.13,Available
01/23/2023, 14:34:18,ROYAL CANIN VETERINARY DIET Hypoallergenic Wet Dog Food Cans 400G,royal-canin-veterinary-diet-hypoallergenic-wet-dog-food-cans,Royal Canin VET,6660846649480,123012000086,9003579311004,400g,7.07,Available
01/23/2023, 14:34:18,Advance Adult Casserole with Lamb Wet Dog Food 410G,advance-adult-casserole-with-lamb-wet-dog-food,Advance,6660853629064,122711000116,9334214029825,400g,5.14,Available
01/23/2023, 14:34:18,Stockman &amp; Paddock Working Dog Dry Dog Food 20kg,stockman-paddock-working-dog-dry-dog-food,STOCKMAN &amp; PADDOCK,6661221318792,100000020667,9310085200709,20kg,58.75,Available
01/23/2023, 14:34:18,Optimum Puppy Chicken &amp; Rice Wet Dog Food 700G,optimum-puppy-chicken-rice-wet-dog-food,Optimum,6661663129736,122013000100,9310022193002,700g,5.00,Available
01/23/2023, 14:34:18,Natural Animal Solutions Omega Oil 3 6 &amp; 9 for Dogs 500ml,natural-animal-solutions-omega-oil-3-6-9-for-dogs,NAS,6660982046856,122318000044,9341976000085,500ml,37.19,Available
01/23/2023, 14:34:18,KONG Wubba No Stuff Giraffe Dog Toy,kong-wubba-no-stuff-giraffe-dog-toy,KONG,6661169545352,100000021759,035585801865,Large,23.96,Available
01/23/2023, 14:34:18,Royal Canin French Bulldog Puppy Dry Dog Food 3kg,royal-canin-french-bulldog-puppy-dry-dog-food,Royal Canin,6662261407880,100000005444,3182550811705,3kg,52.50,Available
01/23/2023, 14:34:18,Savourlife Australian Kangaroo Strips Dog Treats 165G,savourlife-australian-kangaroo-strips-dog-treats,Savourlife,6661292392584,122922000137,9347810000075,165g,14.98,Available
01/23/2023, 14:34:18,"Simparica Trio Purple Flea, Tick &amp; Worm Chews 2.6-5kg 3 Pack",simparica-trio-purple-flea-tick-worm-chews-2-6-5kg-dog,SIMPARICA TRIO,6661320048776,100000022774,5414736046822,3pk,69.98,Available
01/23/2023, 14:34:18,Royal Canin Dachshund Puppy Dry Dog Food 1.5kg,royal-canin-dachshund-puppy-dry-dog-food,Royal Canin,6662245777544,122725000056,3182550722575,1.5kg,42.38,Available
01/23/2023, 14:34:18,PetSafe VBC-10 Vibration Bark Control Collar,petsafe-vbc-10-vibration-bark-control-collar,Petsafe,6661546705032,121311000003,729849133389,Default Title,99.94,Available
01/23/2023, 14:34:18,Ivory Coat Holistic Nutrition Adult Dry Dog Food Lamb &amp; Brown Rice 15kg,ivory-coat-holistic-nutrition-adult-dry-dog-food-lamb-brown-rice-15kg,IVORY COAT,6873252823176,100000060226,9348601004579,15kg,110.00,Available
01/23/2023, 14:34:18,Optimum Lamb &amp; Rice Wet Dog Food 700G,optimum-lamb-rice-wet-dog-food,Optimum,6661474877576,122013000102,9310022193309,700g,5.00,Available
01/23/2023, 14:34:18,KONG AirDog Squeaker Birthday Balls Dog Toy,kong-airdog-squeaker-birthday-balls-dog-toy,KONG,6661312577672,122811000403,035585775197,Default Title,12.96,Available
01/23/2023, 14:34:18,Royal Canin Golden Retriever Adult Dry Dog Food 12kg,royal-canin-golden-retriever-adult-dry-dog-food,Royal Canin,6661137858696,122725000045,3182550743440,12kg,153.00,Available
01/23/2023, 14:34:18,Hill's Prescription Diet Z/D Skin &amp; Food Sensitivities Wet Dog Food 370G,hills-prescription-diet-z-d-skin-food-sensitivities-wet-dog-food,Hill's VET,6660838031496,123011000085,052742701806,370g,6.23,Available
01/23/2023, 14:34:18,Advance Large Breed Adult Chicken Dry Dog Food 15kg,advance-large-giant-breed-adult-chicken-dry-dog-food,Advance,6661494669448,122711000074,9334214008219,15kg,157.00,Available
01/23/2023, 14:34:18,Black Dog Pig Ear Strips Dog Treats 500G,black-dog-pig-ear-strips-dog-treats,Black Dog,6662136266888,122922000033,9319993801442,500g,26.88,Available
01/23/2023, 14:34:18,Black Hawk Working Dog Adult Lamb &amp; Beef Dry Dog Food 20kg,black-hawk-working-dog-adult-lamb-beef-dry-dog-food,Black Hawk,6660830298248,100000001456,9312239042777,20kg,186.00,Available
01/23/2023, 14:34:18,Evolution Chicken With Rice &amp; Potato A Treat With Purpose Dental Health Dog Treats,evolution-chicken-with-rice-potato-dental-health-dog-treats,EVOLUTION NATURALS,6660977787016,121218001031,9343647002107,Default Title,1.78,Available
01/23/2023, 14:34:18,Ivory Coat Holistic Nutrition Large Adult Turkey &amp; Brown Rice Dry Dog Food,ivory-coat-holistic-nutrition-large-adult-turkey-brown-rice-dry-dog-food,IVORY COAT,6873251807368,100000060227,9348601004586,15kg,110.00,Available
01/23/2023, 14:34:18,Advance Mature Medium Breed Chicken Dry Dog Food 15kg,advance-mature-medium-breed-chicken-dry-dog-food,Advance,6660827676808,100000004161,9334214046112,15kg,157.00,Available
01/23/2023, 14:34:18,Glow Adult Australian Turkey Cooked Dog Roll 2kg,glow-adult-australian-turkey-cooked-dog-roll-2kg,Glow,6746730135688,100000053369,9392596007688,2kg,14.98,Available
