Scraped_Date,Scraped_Time,brand,brandless_name,product_id,product_name,skus,display_name,auto_delivery_price,recommended_retail_price,rrp_discount_price,single_order_price
02/15/2023, 14:55:45,Pro Plan,Sensitive Skin And Coat With Optiderma Adult Medium And Large Breed Dry Dog Food,pro-plan-sensitive-skin-and-coat-with-optiderma-adult-medium-and-large-breed-dry-dog-food,Pro Plan Sensitive Skin And Coat With Optiderma Adult Medium And Large Breed Dry Dog Food,NP12285230,2.5kg,40.99,46.5,12,40.99
02/15/2023, 14:55:45,Pro Plan,Sensitive Skin And Coat With Optiderma Adult Medium And Large Breed Dry Dog Food,pro-plan-sensitive-skin-and-coat-with-optiderma-adult-medium-and-large-breed-dry-dog-food,Pro Plan Sensitive Skin And Coat With Optiderma Adult Medium And Large Breed Dry Dog Food,NP12285230VO2X,2 x 2.5kg,75.64,93.0,19,75.64
02/15/2023, 14:55:45,Pro Plan,Sensitive Skin And Coat With Optiderma Adult Medium And Large Breed Dry Dog Food,pro-plan-sensitive-skin-and-coat-with-optiderma-adult-medium-and-large-breed-dry-dog-food,Pro Plan Sensitive Skin And Coat With Optiderma Adult Medium And Large Breed Dry Dog Food,NP12285230MS,4 X 2.5kg,167.96,186.0,10,167.96
02/15/2023, 14:55:45,My Dog,Naturally Crafted Kangaroo Capsicum And Carrots Wet Dog Food,my-dog-naturally-crafted-kangaroo-capsicum-and-carrots-wet-dog-food,My Dog Naturally Crafted Kangaroo Capsicum And Carrots Wet Dog Food,M406739SC,400g,2.6,2.73,5,2.6
02/15/2023, 14:55:45,My Dog,Naturally Crafted Kangaroo Capsicum And Carrots Wet Dog Food,my-dog-naturally-crafted-kangaroo-capsicum-and-carrots-wet-dog-food,My Dog Naturally Crafted Kangaroo Capsicum And Carrots Wet Dog Food,M406757,14 x 85g,17.52,22.4,18,18.44
02/15/2023, 14:55:45,My Dog,Naturally Crafted Kangaroo Capsicum And Carrots Wet Dog Food,my-dog-naturally-crafted-kangaroo-capsicum-and-carrots-wet-dog-food,My Dog Naturally Crafted Kangaroo Capsicum And Carrots Wet Dog Food,M406739,24 x 400g,49.71,65.52,20,52.32
02/15/2023, 14:55:45,My Dog,Home Delights Hearty Chicken Pasta Garden Vegetables Wet Dog Food,my-dog-home-delights-hearty-chicken-pasta-garden-vegetables-wet-dog-food,My Dog Home Delights Hearty Chicken Pasta Garden Vegetables Wet Dog Food,M429417,100g,1.1,1.7,35,1.1
02/15/2023, 14:55:45,My Dog,Home Delights Hearty Chicken Pasta Garden Vegetables Wet Dog Food,my-dog-home-delights-hearty-chicken-pasta-garden-vegetables-wet-dog-food,My Dog Home Delights Hearty Chicken Pasta Garden Vegetables Wet Dog Food,M429417MS,12 x 100g,17.4,20.4,15,17.4
02/15/2023, 14:55:45,Tu Meke Friend,Gourmet Lamb Vegetable Premium Dog Food Canned,tu-meke-friend-gourmet-lamb-vegetable-premium-dog-food-canned,Tu Meke Friend Gourmet Lamb Vegetable Premium Dog Food Canned,TMKFDGLV175G,175g,4.75,4.75,0,4.75
02/15/2023, 14:55:45,Tu Meke Friend,Gourmet Lamb Vegetable Premium Dog Food Canned,tu-meke-friend-gourmet-lamb-vegetable-premium-dog-food-canned,Tu Meke Friend Gourmet Lamb Vegetable Premium Dog Food Canned,TMKFDGLV375G,375g,6.75,6.75,0,6.75
02/15/2023, 14:55:45,Tu Meke Friend,Gourmet Lamb Vegetable Premium Dog Food Canned,tu-meke-friend-gourmet-lamb-vegetable-premium-dog-food-canned,Tu Meke Friend Gourmet Lamb Vegetable Premium Dog Food Canned,TMKFDGLV175GVO6X,6 x 175g,28.5,28.5,0,28.5
02/15/2023, 14:55:45,Tu Meke Friend,Gourmet Lamb Vegetable Premium Dog Food Canned,tu-meke-friend-gourmet-lamb-vegetable-premium-dog-food-canned,Tu Meke Friend Gourmet Lamb Vegetable Premium Dog Food Canned,TMKFDGLV375GVO6X,6 x 375g,40.5,40.5,0,40.5
02/15/2023, 14:55:45,Tu Meke Friend,Gourmet Lamb Vegetable Premium Dog Food Canned,tu-meke-friend-gourmet-lamb-vegetable-premium-dog-food-canned,Tu Meke Friend Gourmet Lamb Vegetable Premium Dog Food Canned,TMKFDGLV375GMS,12 x 375g,76.95,81.0,5,76.95
02/15/2023, 14:55:45,Tu Meke Friend,Gourmet Lamb Vegetable Premium Dog Food Canned,tu-meke-friend-gourmet-lamb-vegetable-premium-dog-food-canned,Tu Meke Friend Gourmet Lamb Vegetable Premium Dog Food Canned,TMKFDGLV175GMS,24 x 175g,108.3,114.0,5,108.3
02/15/2023, 14:55:45,Pedigree,Small Breed Adult Dry Dog Food Real Chicken,pedigree-small-breed-adult-dry-dog-food-real-chicken,Pedigree Small Breed Adult Dry Dog Food Real Chicken,M259403,2.5kg,13.0,13.0,0,13.0
02/15/2023, 14:55:45,Pedigree,Small Breed Adult Dry Dog Food Real Chicken,pedigree-small-breed-adult-dry-dog-food-real-chicken,Pedigree Small Breed Adult Dry Dog Food Real Chicken,M259403VO2X,2 x 2.5kg,25.48,26.0,2,25.48
02/15/2023, 14:55:45,Pedigree,Small Breed Adult Dry Dog Food Real Chicken,pedigree-small-breed-adult-dry-dog-food-real-chicken,Pedigree Small Breed Adult Dry Dog Food Real Chicken,M259403MS,12 X 2.5kg,148.2,156.0,5,148.2
02/15/2023, 14:55:45,Nutrience,Infusion Chicken Flavour Small Breed Dry Dog Food,nutrience-infusion-chicken-flavour-small-breed-dry-dog-food,Nutrience Infusion Chicken Flavour Small Breed Dry Dog Food,NTE22,2.27kg,33.5,33.5,0,33.5
02/15/2023, 14:55:45,Nutrience,Infusion Chicken Flavour Small Breed Dry Dog Food,nutrience-infusion-chicken-flavour-small-breed-dry-dog-food,Nutrience Infusion Chicken Flavour Small Breed Dry Dog Food,NTE23,5kg,63.6,63.6,0,63.6
02/15/2023, 14:55:45,Ausdog,Chicken And Corn Dry Dog Food,ausdog-chicken-and-corn-dry-dog-food,Ausdog Chicken And Corn Dry Dog Food,AUSCHI15D,15kg,59.95,59.95,0,59.95
02/15/2023, 14:55:45,Pedigree,7 Plus Real Turkey Dry Dog Food,pedigree-7-plus-real-turkey-dry-dog-food,Pedigree 7 Plus Real Turkey Dry Dog Food,M370096,3kg,13.0,13.0,0,13.0
