Scraped_Date,Scraped_Time,product_name,handle,brand,product_id,sku,barcode,size,price,availability
02/08/2023, 16:40:42,Hill's Prescription Diet T/D Dental Care Dry Dog Food,hills-prescription-diet-t-d-dental-care-dry-dog-food,Hill's VET,6661054201992,123011000112,052742401805,11.3kg,196.00,Available
02/08/2023, 16:40:42,Royal Canin Medium Relax Care Adult Dry Dog Food,royal-canin-medium-relax-care-adult-dry-dog-food,Royal Canin,6660954456200,100000018995,3182550894289,3kg,53.77,Available
02/08/2023, 16:40:42,Royal Canin Medium Relax Care Adult Dry Dog Food,royal-canin-medium-relax-care-adult-dry-dog-food,Royal Canin,6660954456200,100000018996,3182550894319,10kg,144.00,Available
02/08/2023, 16:40:42,Royal Canin VET Satiety Weight Management Dry Dog Food,royal-canin-veterinary-diet-satiety-adult-dry-dog-food,Royal Canin VET,6661123997832,123012000100,3182550831086,6kg,129.00,Available
02/08/2023, 16:40:42,Royal Canin VET Satiety Weight Management Dry Dog Food,royal-canin-veterinary-diet-satiety-adult-dry-dog-food,Royal Canin VET,6661123997832,123012000101,3182550731386,12kg,201.00,Available
02/08/2023, 16:40:42,Royal Canin Cocker Spaniel Adult Dry Dog Food,royal-canin-cocker-spaniel-adult-dry-dog-food,Royal Canin,6661121147016,122725000035,3182550743709,3kg,50.85,Available
02/08/2023, 16:40:42,Royal Canin Cocker Spaniel Adult Dry Dog Food,royal-canin-cocker-spaniel-adult-dry-dog-food,Royal Canin,6661121147016,122725000036,3182550811538,12kg,155.00,Available
02/08/2023, 16:40:42,Royal Canin Mini Digestive Care Adult Dry Dog Food,royal-canin-mini-digestive-care-adult-dry-dog-food,Royal Canin,6661049319560,100000013309,3182550894012,3kg,60.61,Available
02/08/2023, 16:40:42,Royal Canin Mini Digestive Care Adult Dry Dog Food,royal-canin-mini-digestive-care-adult-dry-dog-food,Royal Canin,6661049319560,100000013311,3182550895057,8kg,127.00,Available
02/08/2023, 16:40:42,Meals For Mutts High Perform Grain Free Adult Turkey &amp; Chickpea Dry Dog Food,meals-for-mutts-high-perform-grain-free-adult-turkey-chickpea-dry-dog-food,MEALS FOR MUTTS,6661306482824,100000003428,797776439935,2.50kg,34.99,Available
