product_id,product_sku,product_name,regular_price
75327,136377,Butcher's Superior Cuts Long Last Pork Ear Dog Treat 200g,19.99
71754,3213505,Butcher's Superior Cuts Long Last Pork Ear Dog Treat 1.3kg,89.99
72072,3210653,Butcher's Superior Cuts Long Last Pork Ear Dog Treat 850g,68.99
73893,3210086,Butcher's Superior Cuts Long Last Pork Ear Dog Treat 400g,39.99
